system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,date,sm_surface,.geo
2022_01_09_49_0,14468,4187.217391304348,0.19130728,0.21021932,2022-01-09,0.13951269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07999397088737,28.83270991746213]}"
2022_01_09_50_0,14438,4232.04347826087,0.21139729,0.21242845,2022-01-09,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99542380812856,28.787743887849114]}"
2022_01_09_51_0,14540,3889.4565217391305,0.1886804,0.21271697,2022-01-09,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0817225249781,28.751771064158707]}"
2022_01_09_52_0,14523,1806.9565217391305,0.07489557,0.04131474,2022-01-09,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04558178863203,28.688818622700495]}"
2022_01_09_53_0,14439,4427.782608695652,0.19436328,0.2276771,2022-01-09,0.15051481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95764596055236,28.652845799010088]}"
2022_01_09_54_0,14529,3356.978260869565,0.18639024,0.23774683,2022-01-09,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15599331910794,28.64385259308749]}"
2022_01_09_55_0,14477,3828.195652173913,0.21177232,0.2581024,2022-01-09,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03043312163538,28.751771064158707]}"
2022_01_09_56_0,14484,2282.195652173913,0.11522452,0.12870483,2022-01-09,0.15051481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0132262264733,28.616872975319676]}"
2022_01_09_57_0,14564,3660.108695652174,0.19293833,0.23349102,2022-01-09,0.1651918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24398209362779,28.6798254167779]}"
2022_01_09_58_0,14504,3019.195652173913,0.11196266,0.11200276,2022-01-09,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05285226566,28.67083221085529]}"
2022_01_09_59_0,14517,2942.804347826087,0.11891342,0.13571194,2022-01-09,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13913352500983,28.634859387164884]}"
2022_01_09_60_0,14502,2578.021739130435,0.11351947,0.07481461,2022-01-09,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10346398669222,28.697811828623102]}"
2022_01_09_61_0,14448,4731.369565217391,0.22620152,0.2799321,2022-01-09,0.15517406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92059085305111,28.76975747600391]}"
2022_01_09_62_0,14499,3864.3478260869565,0.18769214,0.20358333,2022-01-09,0.14599489,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03235237256871,28.67083221085529]}"
2022_01_09_63_0,14489,3175.3260869565215,0.13435704,0.15754066,2022-01-09,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0829588114601,28.697811828623102]}"
2022_01_09_64_0,14509,2845.2608695652175,0.076908514,0.054837923,2022-01-09,0.16592471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2669264637734,28.724791446390903]}"
2022_01_09_65_0,14416,3525.6521739130435,0.12567116,0.17664126,2022-01-09,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95563508432807,28.73378465231351]}"
2022_01_09_66_0,14456,4350.521739130435,0.20860282,0.25407904,2022-01-09,0.15061837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02418022114014,28.58989335755188]}"
2022_01_09_67_0,14506,3077.195652173913,0.14307915,0.21698408,2022-01-09,0.16592471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25306241062255,28.73378465231351]}"
2022_01_09_68_0,14541,3933.891304347826,0.11045135,0.20504138,2022-01-09,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21565030216148,28.724791446390903]}"
2022_01_09_69_0,14495,4684.478260869565,0.20655762,0.2599883,2022-01-09,0.13951269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12466006406102,28.82371671153952]}"
